Date_ID,Day,Month,Year,id,name,sex,age,height,weight,team,noc,games,season,city,sport,event,medal
DT00005,16,8,2016,22,Andreea Aanei,F,22.0,170.0,125.0,Romania,ROU,2016 Summer,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,
DT00003,13,8,2016,62,Giovanni Abagnale,M,21.0,198.0,90.0,Italy,ITA,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
DT00005,16,8,2016,138,Salwan Jasim Abbood Abbood,M,24.0,180.0,104.0,Iraq,IRQ,2016 Summer,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,
DT00008,20,8,2016,170,Maha Abdalsalam Gouda,F,18.0,172.0,61.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Diving,Diving Women's Platform,
DT00004,14,8,2016,213,Samy Abdel Razek,M,36.0,170.0,60.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",
DT00004,14,8,2016,213,Samy Abdel Razek,M,36.0,170.0,60.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",
DT00004,14,8,2016,225,Shaimaa Abdel-Latif-Hashad,F,35.0,165.0,57.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",
DT00002,12,8,2016,229,Mohamed Ali Abdelaal,M,26.0,175.0,81.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,
DT00005,16,8,2016,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,28.0,173.0,77.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,
DT00005,16,8,2016,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,25.0,170.0,94.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,
DT00008,20,8,2016,239,Ayoub Abdellaoui,M,23.0,184.0,68.0,Algeria,ALG,2016 Summer,Summer,Rio de Janeiro,Football,Football Men's Football,
DT00002,12,8,2016,242,Ahmed Abdelrahman,M,20.0,165.0,60.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,
DT00002,12,8,2016,355,Mukhamadmurod Abdurakhmonov,M,29.0,192.0,117.0,Tajikistan,TJK,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,
DT00004,14,8,2016,383,Mojtaba Abedini Shormasti,M,31.0,180.0,83.0,Iran,IRI,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",
DT00008,20,8,2016,395,Jennifer Abel,F,24.0,160.0,62.0,Canada,CAN,2016 Summer,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,
DT00008,20,8,2016,395,Jennifer Abel,F,24.0,160.0,62.0,Canada,CAN,2016 Summer,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,
DT00008,20,8,2016,405,Jos Javier Abella Fanjul,M,22.0,176.0,66.0,Mexico,MEX,2016 Summer,Summer,Rio de Janeiro,Football,Football Men's Football,
DT00003,13,8,2016,430,Matthew Duncan Abeysinghe,M,20.0,180.0,74.0,Sri Lanka,SRI,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,
DT00008,20,8,2016,433,Pablo Abin Vicen,M,31.0,177.0,68.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,
DT00001,11,8,2016,442,"Catherine ""Kate"" Abilla Awino",F,27.0,162.0,56.0,Kenya,KEN,2016 Summer,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
DT00008,20,8,2016,444,Camille Anne Franoise Abily,F,31.0,168.0,60.0,France,FRA,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,
DT00005,16,8,2016,446,Bode Abiodun,M,35.0,170.0,68.0,Nigeria,NGR,2016 Summer,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,
DT00008,20,8,2016,451,Diana Monteiro Abla,F,21.0,175.0,75.0,Brazil,BRA,2016 Summer,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
DT00003,13,8,2016,465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
DT00003,13,8,2016,465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
DT00004,14,8,2016,495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25.0,188.0,87.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",
DT00004,14,8,2016,495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25.0,188.0,87.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",
DT00003,13,8,2016,510,Melita Isidora Abraham Schssler,F,19.0,170.0,62.0,Chile,CHI,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,
DT00003,13,8,2016,578,Bourhan Abro,M,21.0,180.0,70.0,Djibouti,DJI,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
DT00008,20,8,2016,579,Anastasiya Aleksandrovna Abrosimova,F,26.0,164.0,51.0,Russia,RUS,2016 Summer,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,
DT00003,13,8,2016,650,Javier Carlos Acevedo,M,18.0,182.0,68.0,Canada,CAN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,
